Front,Back,Example,Tag
call,называть; вызывать,We call it role level functions.,Vocabulary
exactly,"точно, именно",So we have to understand first what is exactly SQL?,Vocabulary
result,результат,So all what you have to do is to talk to the database to ask a question and the database can answer your question with a result.,Vocabulary
always,всегда,So the char always a fixed one.,Vocabulary
end,конец,"So by the end of this course, you will be ready to solve any complex task like I do using SQL.",Vocabulary
group,группа; группировать,So now instead of grouping the data by the rows this type of databases group the data into columns.,Vocabulary
main,"главный, основной",And this is very advanced database in order to handle huge amount of data where the main purpose is to search for data.,Vocabulary
add,добавлять,How to create a new table add a new column remove column and as well how to drop a table.,Vocabulary
important,важный,So this is very important.,Vocabulary
type,тип,Now we have another type of databases called key value.,Vocabulary
multiple,"множественный, несколько",So with that you learn how to combine multiple tables by combining the columns or the rows of your tables.,Vocabulary
something,что-то,"They need something bigger, stronger and smarter.",Vocabulary
whole,"весь, целый",Same thing you have to go and create a new query then paste the whole code and this database is about the sales DB.,Vocabulary
key,ключ; ключевой,Now we have another type of databases called key value.,Vocabulary
case,случай,Don't go blindly for each query applying distinct just in case there is duplicates.,Vocabulary
following,следующий,Imagine that someone asks the following question.,Vocabulary
anything,что-либо,So you don't have to pay for anything.,Vocabulary
side,сторона,"But now in the other side, if your data in database and you want to ask a question, it's going to be very easy.",Vocabulary
equal,равный,So let's have the following task and it says retrieve customers with a score not equal to zero.,Vocabulary
stuff,"вещи, всякое (разговорное)",So with that you are defining new stuff in the database and then the next chapter you have to learn about the data manipulation.,Vocabulary
happen,происходить,So once you execute it what's going to happen?,Vocabulary
put,"класть, помещать",So now go and put the downloaded folder somewhere safe and let's go inside it.,Vocabulary
year,год,"For example, here splitting the orders by the year.",Vocabulary
maybe,может быть,So maybe you have a database for the sales and another one for the HR.,Vocabulary
view,вид; представление,"And from my point of view, the left join is way more famous than the right join.",Vocabulary
left,левый; оставшийся,So the first option on the left side we have the developer edition.,Vocabulary
since,с тех пор как; так как,And now since we want all the columns we're going to write star and with that SQL going to understand I want to see everything.,Vocabulary
instead,вместо,"But instead of just dumping files into folders, the database organized the data.",Vocabulary
whether,ли (в косвенных вопросах),SQL going to check each row whether it meets this condition or not.,Vocabulary
big,большой,So now the big question is how they handle the data how they store it.,Vocabulary
usually,обычно,Now I'm going to show you how it looks like usually in companies.,Vocabulary
part,часть,So if you bring a column either it should be in the aggregation or it should be part of the group I.,Vocabulary
highest,самый высокий,So for example you say ascending from the lowest to the highest.,Vocabulary
called,называемый,Now we have another type of databases called key value.,Vocabulary
many,много (с исчисляемыми),I make as well post about data and many other projects.,Vocabulary
done,"сделано, готово",And now we are not done yet.,Vocabulary
change,менять; изменение,Now about the syntax we're going to go and change a little thing.,Vocabulary
nice,"хороший, приятный",The data warehouse it is like really nice one in order to do data analyzes and stuff.,Vocabulary
write,писать,So here you have to learn how to write correct prompts to get assistance from AI as you are using SQL.,Vocabulary
might,может (возможность),So now you might ask why we are using database.,Vocabulary
moving,"переходя, двигаясь",Now moving on in our course.,Vocabulary
show,показывать,This makes it really easier to understand SQL and as well it is more fun than just sharing my screen and I just show you code.,Vocabulary
give,давать,"Now what I usually do, I go and select them and give it then a push using a tab.",Vocabulary
friends,друзья (обращение),But my friends in return I really appreciate it if you support the channel in order to grow.,Vocabulary
saying,говоря,There is no right and wrong but if you follow me through the course I think you will start saying SQL.,Vocabulary
way,"способ, путь",So this process is very easy simple and fast and this is way better than having your data stored in different files.,Vocabulary
zero,ноль,The score is zero and not fulfilling the condition.,Vocabulary
day,день,So in the day number one we have two customers one and two.,Vocabulary
cannot,не могу/не может,"Of course, they cannot go unused like simple files.",Vocabulary
details,детали,Retrieve a list of all orders along with the related customer product and employee details.,Vocabulary
still,всё ещё,So those are my top three reasons why SQL is still relevant and why you have to learn it.,Vocabulary
specify,"указывать, задавать",So with the select we select the columns that we want and the from you specify the table where your data come from.,Vocabulary
types,типы,So those are the different types of databases.,Vocabulary
filter,фильтровать,Now after that we start with the intermediate phase where we're going to deep dive into topics like how to filter your data.,Vocabulary
build,"строить, создавать",So all the operators that you can use in order to build a condition in order to filter your data.,Vocabulary
used,использованный; привычный (used to),It is widely used.,Vocabulary
remove,удалять,How to create a new table add a new column remove column and as well how to drop a table.,Vocabulary
level,уровень,We call it role level functions.,Vocabulary
together,вместе,And now let's say that I would like to filter the rows together with the columns.,Vocabulary
without,без,So if your columns contains only numbers you can write it without single quotes.,Vocabulary
format,формат,Now another thing that we can do is we can go and change the date format.,Vocabulary
sure,уверенный; конечно,"And I'm sure you have heard about like the Microsoft SQL server, the MySQL, the possesses they are SQL relational database.",Vocabulary
back,назад,"And if the time goes back, are you going to learn SQL again?",Vocabulary
comes,приходит,And here where the database comes in.,Vocabulary
top,"верхний, топ",And here are the top three reasons that I have.,Vocabulary
working,"работающий, работая",So everything is working.,Vocabulary
compare,сравнивать,So if you compare now create table with a drop table you can see destroying things is way easier than building it.,Vocabulary
third,третий,Now moving on to the third one we have the scripts.,Vocabulary
correct,правильный,So here you have to learn how to write correct prompts to get assistance from AI as you are using SQL.,Vocabulary
sort,сортировать; вид,Next we're going to talk about how to sort your data using the order by.,Vocabulary
full,полный,"We can do an inner join, full join, left join, right join.",Vocabulary
previous,предыдущий,So again like the previous example we are finding the total score by country.,Vocabulary
keep,"держать, продолжать",So I just want to keep the first name and the country and not interested to see the scores and the ids.,Vocabulary
higher,выше,So let's say that the condition should be higher than 500.,Vocabulary
must,должен,"Now in order for this application to move the data inside our new table, it must use the SQL command insert.",Vocabulary
error,ошибка,So once we executed you will see we will not get any error.,Vocabulary
count,считать; количество,Now what you can do you can go over here and add another aggregate function called the count.,Vocabulary
matching,совпадающий,So this must be matching.,Vocabulary
already,уже,There is no need to smash and combine anything because it's already one value.,Vocabulary
work,работать; работа,"And if you want to work on the company in the data field and you want to talk to their data, then you have to use SQL.",Vocabulary
try,пробовать,And now let's go back to scale and try to change something.,Vocabulary
question,вопрос,"Now, of course, the first question is what makes this course so special.",Vocabulary
ask,спрашивать,So now you might ask why we are using database.,Vocabulary
writing,"написание, письмо",So during the course we will be writing a lot of SQL codes and all those codes are here available.,Vocabulary
specific,конкретный,I want to be more specific.,Vocabulary
